,Longitude,Latitude
187,-73.93822699,40.75008533
188,-73.93737631,40.74893208
189,-73.98805421,40.73498319
190,-73.98337767,40.76442003
191,-73.93771862,40.79198901
192,-73.98778087,40.74978011
193,-73.92893144,40.70793423
194,-73.99706744,40.74470568
195,-73.94530599,40.73956005
196,-73.97637375,40.77640235
197,-73.96339063,40.768807
198,-73.93465611,40.75889126
199,-73.98326563,40.77930748
200,-73.91405628,40.74738822
201,-73.91405628,40.74738822
202,-73.94597136,40.79124112
203,-73.95408455,40.73598198
204,-73.95408455,40.73598198
205,-73.99082511,40.7634657
206,-73.99912437,40.75371124
207,-73.95457753,40.76976178
208,-73.94803956,40.75567574
209,-73.97872217,40.72637978
210,-73.98817814,40.74829799
211,-73.95599702,40.71410152
212,-73.95680951,40.71276512
213,-73.99346505,40.7521987
214,-73.99885748,40.74224916
215,-73.94859866,40.70937746
216,-73.96727402,40.79321711
217,-73.95809444,40.77462954
218,-73.94926289,40.79395166
219,-73.94625038,40.77219004
220,-73.91154324,40.77544859
221,-73.98843929,40.76164572
222,-73.93983889,40.70766322
223,-73.91644843,40.75940374
224,-73.94914747,40.79848316
225,-73.91039019,40.75493348
226,-73.95172014,40.79202043
227,-73.90059586,40.71270561
228,-73.97719748,40.76433115
229,-73.93628063,40.77379337
230,-73.98610723,40.76229871
231,-73.93566016,40.79566582
232,-73.98012197,40.7265804
233,-73.97419203,40.72286282
234,-73.97061443,40.79372304
235,-73.91189466,40.76635004
236,-73.94616117,40.7574919
237,-73.94556545,40.78858677
238,-73.94870572,40.72023853
239,-73.99207505,40.7254263
240,-73.94304352,40.72253048
241,-73.93685919,40.73477711
242,-73.90252916,40.74485936
243,-73.96802691,40.75958605
244,-73.99207505,40.7254263
245,-73.91170832,40.74352732
246,-73.99062471,40.75099905
247,-73.96738653,40.79944768
248,-73.93682421,40.79831513
249,-73.99169588,40.7571803
250,-73.96920628,40.75394592
251,-73.93999677,40.78872124
252,-73.98760306,40.73559248
253,-73.91175834,40.74935446
254,-73.94342325,40.75544301
255,-73.98891235,40.71718627
256,-73.9599453,40.71079552
257,-73.99764817,40.7530909
258,-73.99764817,40.7530909
259,-73.93394905,40.75481765
260,-73.97156225,40.75616977
261,-73.94495714,40.70754776
262,-73.94594019,40.79850092
263,-73.98788056,40.7573172
264,-73.9214221,40.74142913
265,-73.94737578,40.77348882
266,-73.98663488,40.75924936
267,-73.97598204,40.78127417
268,-73.99677244,40.72544025
269,-73.98615725,40.76477447
270,-73.93311462,40.74468356
271,-73.90262906,40.70613912
272,-73.9528638,40.77835762
273,-73.93671792,40.76195005
274,-73.93771862,40.79198901
275,-73.98337767,40.76442003
276,-73.94145828,40.71188825
277,-73.98067655,40.77993288
278,-73.97502011,40.78514404
279,-73.99922924,40.73664164
280,-73.91730314,40.77747848
281,-73.9076358,40.77865138
282,-73.91744517,40.70077096
283,-73.98066741,40.71187955
284,-73.95521653,40.77513623
285,-73.95035033,40.70629037
286,-73.9888105,40.72222564
287,-73.97574832,40.7190946
288,-73.98616772,40.74912119
289,-73.90537867,40.7128853
290,-73.9084452,40.71781463
291,-73.95355448,40.74063961
292,-73.99831941,40.75673594
293,-73.93859527,40.76167385
294,-73.98158841,40.74675458
295,-73.99686328,40.71171645
296,-73.98519367,40.76355294
297,-73.97597708,40.73498954
298,-73.91170832,40.74352732
299,-73.98633471,40.76198309
300,-73.98633471,40.76198309
301,-73.97756926,40.72158996
302,-73.90442216,40.75356729
303,-73.91939362,40.77158152
304,-73.99121211,40.757839
305,-73.98480371,40.7481137
306,-73.92421019,40.70461828
307,-73.97657424,40.74016078
308,-73.97075133,40.76161788
309,-73.97075133,40.76161788
310,-73.97589355,40.71651456
311,-73.97974355,40.7608458
312,-73.99084618,40.7152404
313,-73.94078702,40.70008542
314,-73.94032705,40.79897024
315,-73.94275219,40.79708859
316,-73.97812412,40.74573292
317,-73.94314758,40.72319202
318,-73.9561042,40.77592706
319,-73.94648488,40.79486989
320,-73.97548456,40.75945887
321,-73.95228873,40.78980292
322,-73.90009641,40.72344268
323,-73.97569176,40.73569213
324,-73.97607167,40.76297776
325,-73.98058474,40.7232703
326,-73.92327672,40.74164722
327,-73.91054281,40.77030143
328,-73.9502447,40.7125127
329,-73.94261356,40.78612331
330,-73.95436351,40.70801299
331,-73.9825805,40.76204022
332,-73.98326563,40.77930748
333,-73.98995943,40.73489554
334,-73.91215854,40.75787996
335,-73.9555855,40.779506
336,-73.95892666,40.70730931
337,-73.98891235,40.71718627
338,-73.90115932,40.71463017
339,-73.92036488,40.74433784
340,-73.91250525,40.78246762
341,-73.99903781,40.74964627
342,-73.94285577,40.78581602
343,-73.94567625,40.78113762
344,-73.98847202,40.73940228
345,-73.97625544,40.723393
346,-73.96216553,40.79642413
347,-73.92740866,40.70855085
348,-73.95285881,40.70380741
349,-73.93752516,40.76339149
350,-73.99119252,40.74223785
351,-73.94859866,40.70937746
352,-73.96028382,40.71170415
353,-73.94132149,40.79761211
354,-73.91033235,40.71478315
355,-73.9860885,40.71371933
356,-73.91818341,40.74574163
357,-73.98018137,40.75734632
358,-73.99092912,40.76841722
359,-73.92898841,40.73910375
360,-73.95434132,40.71407891
361,-73.92968731,40.79833844
362,-73.94261356,40.78612331
363,-73.98444271,40.73304222
364,-73.91741972,40.77372651
365,-73.97902444,40.75183192
366,-73.97994999,40.72259498
367,-73.95200411,40.78886136
368,-73.93873725,40.79569494
369,-73.96093742,40.71048021
370,-73.98326563,40.77930748
371,-73.91090481,40.76417544
372,-73.97879171,40.77997097
373,-73.99642487,40.74813935
374,-73.93487018,40.74299105
375,-73.96797272,40.78970954
376,-73.96636025,40.7647402
377,-73.96349994,40.7933093
