,Longitude,Latitude
187,-73.95396073,40.78462429
188,-73.95257685,40.78076189
189,-73.96201571,40.7678212
190,-73.96890647,40.76990927
191,-73.95955527,40.77696858
192,-73.92624057,40.77324667
193,-73.95671032,40.77107733
194,-73.98649712,40.7443536
195,-73.98856337,40.75383144
196,-73.90283449,40.77058064
197,-73.94294878,40.71098872
198,-73.91434801,40.76469406
199,-73.98527303,40.74747149
200,-73.94926289,40.79395166
201,-73.90983375,40.71003432
202,-73.97350825,40.75494059
203,-73.98928218,40.75043077
204,-73.98928218,40.75043077
205,-73.93375424,40.79827223
206,-73.99305913,40.7336222
207,-73.98970655,40.73686899
208,-73.98035437,40.75823565
209,-73.95875098,40.72309163
210,-73.99050125,40.75626621
211,-73.95685958,40.73571956
212,-73.98975793,40.75473732
213,-73.99350698,40.72930198
214,-73.9684437,40.79415339
215,-73.98085585,40.77166576
216,-73.9505609,40.77738227
217,-73.95307402,40.72599066
218,-73.94274764,40.7015878
219,-73.98195496,40.7791975
220,-73.97882989,40.76209175
221,-73.98523629,40.75041111
222,-73.93680607,40.74513029
223,-73.94812766,40.71669753
224,-73.99082511,40.7634657
225,-73.91438533,40.77778651
226,-73.99909951,40.72403497
227,-73.99133693,40.71396138
228,-73.99213945,40.72997985
229,-73.90570052,40.7709563
230,-73.97111079,40.7567982
231,-73.93628063,40.77379337
232,-73.92658614,40.70868208
233,-73.94104276,40.71267304
234,-73.96061496,40.77396895
235,-73.98909024,40.73237028
236,-73.97630948,40.7540766
237,-73.98616772,40.74912119
238,-73.9996839,40.73856022
239,-73.98179191,40.72845534
240,-73.95533975,40.7798435
241,-73.94617554,40.78884506
242,-73.9004771,40.74392713
243,-73.99675989,40.76105888
244,-73.97844131,40.71351504
245,-73.95246017,40.78235379
246,-73.99305231,40.72983718
247,-73.98857299,40.71875075
248,-73.92517225,40.74400621
249,-73.97301719,40.76428633
250,-73.98596397,40.75691625
251,-73.96144337,40.79611923
252,-73.90980644,40.74621845
253,-73.98659382,40.73008638
254,-73.96270216,40.76687998
255,-73.93229782,40.79558155
256,-73.99253226,40.73423425
257,-73.99050125,40.75626621
258,-73.93429132,40.75179039
259,-73.91514299,40.7555821
260,-73.9939413,40.75408986
261,-73.99835927,40.75057947
262,-73.98320947,40.75861762
263,-73.99683762,40.72051341
264,-73.98762955,40.76784875
265,-73.94001826,40.70875573
266,-73.99480863,40.7401603
267,-73.98236234,40.76795511
268,-73.96841565,40.76192193
269,-73.92467548,40.76843687
270,-73.96632353,40.79451509
271,-73.98928218,40.75043077
272,-73.98995167,40.73849665
273,-73.98322284,40.71985897
274,-73.94793769,40.71051898
275,-73.93219259,40.7074092
276,-73.97684138,40.79180864
277,-73.91514299,40.7555821
278,-73.92818165,40.7878746
279,-73.98594188,40.72473952
280,-73.98081924,40.76088715
281,-73.96646538,40.77819495
282,-73.96914667,40.79691752
283,-73.95628803,40.76540105
284,-73.99903781,40.74964627
285,-73.99022968,40.73747289
286,-73.99014136,40.74911886
287,-73.97190956,40.754265
288,-73.94643413,40.79060456
289,-73.98193145,40.71946628
290,-73.91048101,40.77598848
291,-73.99213945,40.72997985
292,-73.97017922,40.74941734
293,-73.907058,40.71920786
294,-73.97161391,40.76198041
295,-73.97202985,40.76004821
296,-73.98901464,40.75321392
297,-73.97724359,40.71390731
298,-73.94919106,40.71297336
299,-73.95480953,40.77368685
300,-73.98762955,40.76784875
301,-73.94552006,40.72047311
302,-73.94440825,40.79481676
303,-73.98967569,40.74973364
304,-73.98928218,40.75043077
305,-73.90308456,40.70045509
306,-73.98571944,40.75263441
307,-73.99050125,40.75626621
308,-73.95135757,40.72477402
309,-73.98048683,40.78661353
310,-73.98467455,40.76046229
311,-73.95116691,40.76832763
312,-73.97641646,40.77813977
313,-73.95145784,40.78028933
314,-73.97951699,40.78152463
315,-73.92867812,40.75928296
316,-73.99914274,40.72906337
317,-73.98187215,40.77831917
318,-73.97581508,40.72399675
319,-73.97476985,40.78803145
320,-73.98148456,40.73086519
